build,object_file,source_module,flash_bytes,ram_bytes
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_dvmd_tls.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libgcc.a(_dvmd_tls.o),4,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-wf_atan2.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libm.a(libm_a-wf_atan2.o),4,0
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-findfp.o),0,312
Debug,C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-reent.o),C:/PROGRA~2/ARMGNU~1/14EFD8~1.2RE/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v7-m/nofp/libg_nano.a(libc_a-reent.o),0,4
Release,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/tasks.c.obj,Middlewares/Third_Party/FreeRTOS/Source/tasks.c,4737,1276
Release,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_i2c.c,2714,0
Release,CMakeFiles/MotionEdge-F103.dir/App/app_main.c.obj,App/app_main.c,2639,284
Release,cmake/stm32cubemx/CMakeFiles/FreeRTOS.dir/__/__/Middlewares/Third_Party/FreeRTOS/Source/queue.c.obj,Middlewares/Third_Party/FreeRTOS/Source/queue.c,2416,64
Release,CMakeFiles/MotionEdge-F103.dir/Services/control_service.c.obj,Services/control_service.c,2080,236
Release,CMakeFiles/MotionEdge-F103.dir/App/RTOS/rtos_tasks.c.obj,App/RTOS/rtos_tasks.c,1975,5056
Release,CMakeFiles/MotionEdge-F103.dir/Services/command_service.c.obj,Services/command_service.c,1888,1
Release,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_uart.c,1882,0
Release,CMakeFiles/MotionEdge-F103.dir/Services/config_store.c.obj,Services/config_store.c,1856,100
Release,CMakeFiles/MotionEdge-F103.dir/Services/motion_service.c.obj,Services/motion_service.c,1584,281
Release,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_tim.c,1470,0
Release,CMakeFiles/MotionEdge-F103.dir/Algorithms/pid_controller.c.obj,Algorithms/pid_controller.c,1444,0
Release,cmake/stm32cubemx/CMakeFiles/STM32_Drivers.dir/__/__/Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c.obj,Drivers/STM32F1xx_HAL_Driver/Src/stm32f1xx_hal_rcc.c,1354,0
Release,CMakeFiles/MotionEdge-F103.dir/Services/actuator_service.c.obj,Services/actuator_service.c,1342,57
